task,method,prefix,seed_count,metric,mean,standard_error,median,q10,q25,q75,q90,iqr
covtype_label_bandit,transport_endpoint_corrected_cholesky,32,1,width_upper_over_exact,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,D_Q_minus_d_Th,0.005249538116939091,0.0,0.005249538116939091,0.005249538116939091,0.005249538116939091,0.005249538116939091,0.005249538116939091,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,D_Q_over_d_Th,23049.911890100582,0.0,23049.911890100582,23049.911890100582,23049.911890100582,23049.911890100582,23049.911890100582,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,action_accuracy,0.09375,0.0,0.09375,0.09375,0.09375,0.09375,0.09375,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,action_scoring_seconds,0.0031562208896502852,0.0,0.0031562208896502852,0.0031562208896502852,0.0031562208896502852,0.0031562208896502852,0.0031562208896502852,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,algorithm_seconds,1.63423218234675,0.0,1.63423218234675,1.63423218234675,1.63423218234675,1.63423218234675,1.63423218234675,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,cg_iterations,2725.0,0.0,2725.0,2725.0,2725.0,2725.0,2725.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,cg_matvecs,3365.0,0.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,cumulative_regret,23.20000000000001,0.0,23.20000000000001,23.20000000000001,23.20000000000001,23.20000000000001,23.20000000000001,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,current_misspecification_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,data_loading_seconds,0.015451621962711215,0.0,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.015451621962711215,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,diagnostic_seconds,0.551675216818694,0.0,0.551675216818694,0.551675216818694,0.551675216818694,0.551675216818694,0.551675216818694,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,end_to_end_round_seconds,2.2014610318583436,0.0,2.2014610318583436,2.2014610318583436,2.2014610318583436,2.2014610318583436,2.2014610318583436,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,fraction_bonus_below_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,fraction_bonus_exceeds_range,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,historical_misspecification_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,kappa_minus,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,logical_operator_bytes,276768.0,0.0,276768.0,276768.0,276768.0,276768.0,276768.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,operator_construction_seconds,0.46675184095511213,0.0,0.46675184095511213,0.46675184095511213,0.46675184095511213,0.46675184095511213,0.46675184095511213,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,peak_rss_bytes,457363456.0,0.0,457363456.0,457363456.0,457363456.0,457363456.0,457363456.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,preprocessing_seconds,0.03642051498172805,0.0,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.03642051498172805,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,representation_update_seconds,0.22337182669434696,0.0,0.22337182669434696,0.22337182669434696,0.22337182669434696,0.22337182669434696,0.22337182669434696,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,solver_alpha,1.0000965128213157,0.0,1.0000965128213157,1.0000965128213157,1.0000965128213157,1.0000965128213157,1.0000965128213157,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,solver_seconds,0.3337173839681782,0.0,0.3337173839681782,0.3337173839681782,0.3337173839681782,0.3337173839681782,0.3337173839681782,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,teacher_environment_seconds,0.008029669988900423,0.0,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.008029669988900423,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,transport_certificate_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covtype_label_bandit,transport_exact_corrected_cg_1e-4,32,1,width_upper_over_exact,1.0000331569264136,0.0,1.0000331569264136,1.0000331569264136,1.0000331569264136,1.0000331569264136,1.0000331569264136,0.0
covtype_label_bandit,transport_exact_corrected_cholesky,32,1,D_Q_minus_d_Th,0.004763656150409572,0.0,0.004763656150409572,0.004763656150409572,0.004763656150409572,0.004763656150409572,0.004763656150409572,0.0
covtype_label_bandit,transport_exact_corrected_cholesky,32,1,D_Q_over_d_Th,16776.77617880058,0.0,16776.77617880058,16776.77617880058,16776.77617880058,16776.77617880058,16776.77617880058,0.0
covtype_label_bandit,transport_exact_corrected_cholesky,32,1,action_accuracy,0.09375,0.0,0.09375,0.09375,0.09375,0.09375,0.09375,0.0
